labels: [0 1 2 3 4]
label counts: [6819  755  125  369  297]
training with class weights: tensor([ 0.2453,  2.2159, 13.3840,  4.5339,  5.6330])
epoch: 1, batch: 100, ce loss: 1.57311, 0.5 * mse loss: 1.52181, lr: 0.0000196
epoch: 1, batch: 110, ce loss: 1.58185, 0.5 * mse loss: 1.83649, lr: 0.0000195
epoch: 1, batch: 120, ce loss: 1.57653, 0.5 * mse loss: 1.55720, lr: 0.0000195
epoch: 1, batch: 130, ce loss: 1.57473, 0.5 * mse loss: 1.55607, lr: 0.0000195
epoch: 1, batch: 140, ce loss: 1.56916, 0.5 * mse loss: 1.70108, lr: 0.0000194
epoch: 1, batch: 150, ce loss: 1.58735, 0.5 * mse loss: 1.59775, lr: 0.0000194
epoch: 1, batch: 160, ce loss: 1.57186, 0.5 * mse loss: 1.78014, lr: 0.0000193
epoch: 1, batch: 170, ce loss: 1.57996, 0.5 * mse loss: 1.51917, lr: 0.0000193
epoch: 1, batch: 180, ce loss: 1.61453, 0.5 * mse loss: 1.47692, lr: 0.0000192
epoch: 1, batch: 190, ce loss: 1.58599, 0.5 * mse loss: 1.54223, lr: 0.0000192
epoch: 1, batch: 200, ce loss: 1.60632, 0.5 * mse loss: 1.73234, lr: 0.0000192
epoch: 1, batch: 210, ce loss: 1.58415, 0.5 * mse loss: 1.84202, lr: 0.0000191
epoch: 1, batch: 220, ce loss: 1.60774, 0.5 * mse loss: 1.54945, lr: 0.0000191
epoch: 1, batch: 230, ce loss: 1.60498, 0.5 * mse loss: 1.59390, lr: 0.0000190
epoch: 1, batch: 240, ce loss: 1.61414, 0.5 * mse loss: 1.47353, lr: 0.0000190
epoch: 1, batch: 250, ce loss: 1.58480, 0.5 * mse loss: 1.82634, lr: 0.0000189
epoch: 1, batch: 260, ce loss: 1.55895, 0.5 * mse loss: 1.50070, lr: 0.0000189
epoch: 1, batch: 270, ce loss: 1.61532, 0.5 * mse loss: 1.54908, lr: 0.0000189
epoch: 1, batch: 280, ce loss: 1.61331, 0.5 * mse loss: 1.65720, lr: 0.0000188
epoch: 1, batch: 290, ce loss: 1.59035, 0.5 * mse loss: 1.62351, lr: 0.0000188
epoch: 1, batch: 300, ce loss: 1.60161, 0.5 * mse loss: 1.39224, lr: 0.0000187
epoch: 1, batch: 310, ce loss: 1.59957, 0.5 * mse loss: 1.35133, lr: 0.0000187
epoch: 1, batch: 320, ce loss: 1.59730, 0.5 * mse loss: 1.56678, lr: 0.0000186
epoch: 1, batch: 330, ce loss: 1.57452, 0.5 * mse loss: 1.39995, lr: 0.0000186
epoch: 1, batch: 340, ce loss: 1.55231, 0.5 * mse loss: 1.58952, lr: 0.0000186
epoch: 1, batch: 350, ce loss: 1.54417, 0.5 * mse loss: 1.49930, lr: 0.0000185
epoch: 1, batch: 360, ce loss: 1.59603, 0.5 * mse loss: 1.50279, lr: 0.0000185
epoch: 1, batch: 370, ce loss: 1.56869, 0.5 * mse loss: 1.66696, lr: 0.0000184
epoch: 1, batch: 380, ce loss: 1.61445, 0.5 * mse loss: 1.69737, lr: 0.0000184
epoch: 1, batch: 390, ce loss: 1.57372, 0.5 * mse loss: 1.56330, lr: 0.0000183
epoch: 1, batch: 400, ce loss: 1.60717, 0.5 * mse loss: 1.53358, lr: 0.0000183
epoch: 1, batch: 410, ce loss: 1.56390, 0.5 * mse loss: 1.54489, lr: 0.0000183
epoch: 1, batch: 420, ce loss: 1.59650, 0.5 * mse loss: 1.53973, lr: 0.0000182
epoch: 1, batch: 430, ce loss: 1.60154, 0.5 * mse loss: 1.60745, lr: 0.0000182
epoch: 1, batch: 440, ce loss: 1.59736, 0.5 * mse loss: 1.55060, lr: 0.0000181
epoch: 1, batch: 450, ce loss: 1.59711, 0.5 * mse loss: 1.34881, lr: 0.0000181
epoch: 1, batch: 460, ce loss: 1.58444, 0.5 * mse loss: 1.45124, lr: 0.0000180
epoch: 1, batch: 470, ce loss: 1.62261, 0.5 * mse loss: 1.57846, lr: 0.0000180
epoch: 1, batch: 480, ce loss: 1.60979, 0.5 * mse loss: 1.54077, lr: 0.0000180
epoch: 1, batch: 490, ce loss: 1.57848, 0.5 * mse loss: 1.72318, lr: 0.0000179
epoch: 1, batch: 500, ce loss: 1.58940, 0.5 * mse loss: 1.48313, lr: 0.0000179
epoch: 1, batch: 510, ce loss: 1.57829, 0.5 * mse loss: 1.68203, lr: 0.0000178
epoch: 1, batch: 520, ce loss: 1.60647, 0.5 * mse loss: 1.66300, lr: 0.0000178
epoch: 2, batch: 10, ce loss: 1.60038, 0.5 * mse loss: 1.58202, lr: 0.0000177
epoch: 2, batch: 20, ce loss: 1.59089, 0.5 * mse loss: 1.53921, lr: 0.0000177
epoch: 2, batch: 30, ce loss: 1.54572, 0.5 * mse loss: 1.64686, lr: 0.0000177
epoch: 2, batch: 40, ce loss: 1.61153, 0.5 * mse loss: 1.54593, lr: 0.0000176
epoch: 2, batch: 50, ce loss: 1.54930, 0.5 * mse loss: 1.38881, lr: 0.0000176
epoch: 2, batch: 60, ce loss: 1.60482, 0.5 * mse loss: 1.42262, lr: 0.0000175
epoch: 2, batch: 70, ce loss: 1.59023, 0.5 * mse loss: 1.30762, lr: 0.0000175
epoch: 2, batch: 80, ce loss: 1.58449, 0.5 * mse loss: 1.49124, lr: 0.0000174
epoch: 2, batch: 90, ce loss: 1.58420, 0.5 * mse loss: 1.56211, lr: 0.0000174
epoch: 2, batch: 100, ce loss: 1.57537, 0.5 * mse loss: 1.27543, lr: 0.0000174
epoch: 2, batch: 110, ce loss: 1.59261, 0.5 * mse loss: 1.52382, lr: 0.0000173
epoch: 2, batch: 120, ce loss: 1.60329, 0.5 * mse loss: 1.57947, lr: 0.0000173
epoch: 2, batch: 130, ce loss: 1.56009, 0.5 * mse loss: 1.66067, lr: 0.0000172
epoch: 2, batch: 140, ce loss: 1.61716, 0.5 * mse loss: 1.55612, lr: 0.0000172
epoch: 2, batch: 150, ce loss: 1.53495, 0.5 * mse loss: 1.43100, lr: 0.0000171
epoch: 2, batch: 160, ce loss: 1.60380, 0.5 * mse loss: 1.57704, lr: 0.0000171
epoch: 2, batch: 170, ce loss: 1.57825, 0.5 * mse loss: 1.44359, lr: 0.0000171
epoch: 2, batch: 180, ce loss: 1.57015, 0.5 * mse loss: 1.54433, lr: 0.0000170
epoch: 2, batch: 190, ce loss: 1.57732, 0.5 * mse loss: 1.33263, lr: 0.0000170
epoch: 2, batch: 200, ce loss: 1.59434, 0.5 * mse loss: 1.53695, lr: 0.0000169
epoch: 2, batch: 210, ce loss: 1.62067, 0.5 * mse loss: 1.27357, lr: 0.0000169
epoch: 2, batch: 220, ce loss: 1.57332, 0.5 * mse loss: 1.64424, lr: 0.0000168
epoch: 2, batch: 230, ce loss: 1.58411, 0.5 * mse loss: 1.26702, lr: 0.0000168
epoch: 2, batch: 240, ce loss: 1.57377, 0.5 * mse loss: 1.67277, lr: 0.0000168
epoch: 2, batch: 250, ce loss: 1.54551, 0.5 * mse loss: 1.51793, lr: 0.0000167
epoch: 2, batch: 260, ce loss: 1.58546, 0.5 * mse loss: 1.45670, lr: 0.0000167
epoch: 2, batch: 270, ce loss: 1.58813, 0.5 * mse loss: 1.34053, lr: 0.0000166
epoch: 2, batch: 280, ce loss: 1.61255, 0.5 * mse loss: 1.61953, lr: 0.0000166
epoch: 2, batch: 290, ce loss: 1.60735, 0.5 * mse loss: 1.38216, lr: 0.0000165
epoch: 2, batch: 300, ce loss: 1.59358, 0.5 * mse loss: 1.69654, lr: 0.0000165
epoch: 2, batch: 310, ce loss: 1.56562, 0.5 * mse loss: 1.58413, lr: 0.0000165
epoch: 2, batch: 320, ce loss: 1.54661, 0.5 * mse loss: 1.57655, lr: 0.0000164
epoch: 2, batch: 330, ce loss: 1.58352, 0.5 * mse loss: 1.81786, lr: 0.0000164
epoch: 2, batch: 340, ce loss: 1.60760, 0.5 * mse loss: 1.39637, lr: 0.0000163
epoch: 2, batch: 350, ce loss: 1.59883, 0.5 * mse loss: 1.78490, lr: 0.0000163
epoch: 2, batch: 360, ce loss: 1.58440, 0.5 * mse loss: 1.66156, lr: 0.0000163
epoch: 2, batch: 370, ce loss: 1.61382, 0.5 * mse loss: 1.60185, lr: 0.0000162
epoch: 2, batch: 380, ce loss: 1.56328, 0.5 * mse loss: 1.32416, lr: 0.0000162
epoch: 2, batch: 390, ce loss: 1.57005, 0.5 * mse loss: 1.57843, lr: 0.0000161
epoch: 2, batch: 400, ce loss: 1.57877, 0.5 * mse loss: 1.48673, lr: 0.0000161
epoch: 2, batch: 410, ce loss: 1.57803, 0.5 * mse loss: 1.47747, lr: 0.0000160
epoch: 2, batch: 420, ce loss: 1.58512, 0.5 * mse loss: 1.65042, lr: 0.0000160
epoch: 2, batch: 430, ce loss: 1.60231, 0.5 * mse loss: 1.52448, lr: 0.0000160
epoch: 2, batch: 440, ce loss: 1.60921, 0.5 * mse loss: 1.50594, lr: 0.0000159
epoch: 2, batch: 450, ce loss: 1.57968, 0.5 * mse loss: 1.63542, lr: 0.0000159
epoch: 2, batch: 460, ce loss: 1.50267, 0.5 * mse loss: 1.65547, lr: 0.0000158
epoch: 2, batch: 470, ce loss: 1.61943, 0.5 * mse loss: 1.65436, lr: 0.0000158
epoch: 2, batch: 480, ce loss: 1.58067, 0.5 * mse loss: 1.58841, lr: 0.0000157
epoch: 2, batch: 490, ce loss: 1.61601, 0.5 * mse loss: 1.60867, lr: 0.0000157
epoch: 2, batch: 500, ce loss: 1.56392, 0.5 * mse loss: 1.73692, lr: 0.0000157
epoch: 2, batch: 510, ce loss: 1.60089, 0.5 * mse loss: 1.48299, lr: 0.0000156
epoch: 2, batch: 520, ce loss: 1.59221, 0.5 * mse loss: 1.59080, lr: 0.0000156
epoch: 3, batch: 10, ce loss: 1.55924, 0.5 * mse loss: 1.31887, lr: 0.0000155
epoch: 3, batch: 20, ce loss: 1.59539, 0.5 * mse loss: 1.22736, lr: 0.0000155
epoch: 3, batch: 30, ce loss: 1.57863, 0.5 * mse loss: 1.46943, lr: 0.0000154
epoch: 3, batch: 40, ce loss: 1.58873, 0.5 * mse loss: 1.19603, lr: 0.0000154
epoch: 3, batch: 50, ce loss: 1.54483, 0.5 * mse loss: 1.62395, lr: 0.0000153
epoch: 3, batch: 60, ce loss: 1.59919, 0.5 * mse loss: 1.28361, lr: 0.0000153
epoch: 3, batch: 70, ce loss: 1.54417, 0.5 * mse loss: 1.68220, lr: 0.0000153
epoch: 3, batch: 80, ce loss: 1.60234, 0.5 * mse loss: 1.70782, lr: 0.0000152
epoch: 3, batch: 90, ce loss: 1.56490, 0.5 * mse loss: 1.50351, lr: 0.0000152
epoch: 3, batch: 100, ce loss: 1.56005, 0.5 * mse loss: 1.58340, lr: 0.0000151
epoch: 3, batch: 110, ce loss: 1.55555, 0.5 * mse loss: 1.37033, lr: 0.0000151
epoch: 3, batch: 120, ce loss: 1.62340, 0.5 * mse loss: 1.41489, lr: 0.0000150
epoch: 3, batch: 130, ce loss: 1.54760, 0.5 * mse loss: 1.43356, lr: 0.0000150
epoch: 3, batch: 140, ce loss: 1.59724, 0.5 * mse loss: 1.72424, lr: 0.0000150
epoch: 3, batch: 150, ce loss: 1.56904, 0.5 * mse loss: 1.46322, lr: 0.0000149
epoch: 3, batch: 160, ce loss: 1.52706, 0.5 * mse loss: 1.49205, lr: 0.0000149
epoch: 3, batch: 170, ce loss: 1.57807, 0.5 * mse loss: 1.68150, lr: 0.0000148
epoch: 3, batch: 180, ce loss: 1.56650, 0.5 * mse loss: 1.58229, lr: 0.0000148
epoch: 3, batch: 190, ce loss: 1.55041, 0.5 * mse loss: 1.41866, lr: 0.0000148
epoch: 3, batch: 200, ce loss: 1.59951, 0.5 * mse loss: 1.51184, lr: 0.0000147
epoch: 3, batch: 210, ce loss: 1.58438, 0.5 * mse loss: 1.58517, lr: 0.0000147
epoch: 3, batch: 220, ce loss: 1.61345, 0.5 * mse loss: 1.40146, lr: 0.0000146
epoch: 3, batch: 230, ce loss: 1.57344, 0.5 * mse loss: 1.60668, lr: 0.0000146
epoch: 3, batch: 240, ce loss: 1.55224, 0.5 * mse loss: 1.47299, lr: 0.0000145
epoch: 3, batch: 250, ce loss: 1.58133, 0.5 * mse loss: 1.64095, lr: 0.0000145
epoch: 3, batch: 260, ce loss: 1.58647, 0.5 * mse loss: 1.32214, lr: 0.0000145
epoch: 3, batch: 270, ce loss: 1.57917, 0.5 * mse loss: 1.38084, lr: 0.0000144
epoch: 3, batch: 280, ce loss: 1.58042, 0.5 * mse loss: 1.80098, lr: 0.0000144
epoch: 3, batch: 290, ce loss: 1.58603, 0.5 * mse loss: 1.66583, lr: 0.0000143
epoch: 3, batch: 300, ce loss: 1.59461, 0.5 * mse loss: 1.50814, lr: 0.0000143
epoch: 3, batch: 310, ce loss: 1.57083, 0.5 * mse loss: 1.45779, lr: 0.0000142
epoch: 3, batch: 320, ce loss: 1.57963, 0.5 * mse loss: 1.45779, lr: 0.0000142
epoch: 3, batch: 330, ce loss: 1.55421, 0.5 * mse loss: 1.42612, lr: 0.0000142
epoch: 3, batch: 340, ce loss: 1.59226, 0.5 * mse loss: 1.52265, lr: 0.0000141
epoch: 3, batch: 350, ce loss: 1.59159, 0.5 * mse loss: 1.52340, lr: 0.0000141
epoch: 3, batch: 360, ce loss: 1.57709, 0.5 * mse loss: 1.51614, lr: 0.0000140
epoch: 3, batch: 370, ce loss: 1.57963, 0.5 * mse loss: 1.80840, lr: 0.0000140
epoch: 3, batch: 380, ce loss: 1.60588, 0.5 * mse loss: 1.60417, lr: 0.0000139
epoch: 3, batch: 390, ce loss: 1.58440, 0.5 * mse loss: 1.63826, lr: 0.0000139
epoch: 3, batch: 400, ce loss: 1.59268, 0.5 * mse loss: 1.51592, lr: 0.0000139
epoch: 3, batch: 410, ce loss: 1.55473, 0.5 * mse loss: 1.60915, lr: 0.0000138
epoch: 3, batch: 420, ce loss: 1.57922, 0.5 * mse loss: 1.48090, lr: 0.0000138
epoch: 3, batch: 430, ce loss: 1.58061, 0.5 * mse loss: 1.40983, lr: 0.0000137
epoch: 3, batch: 440, ce loss: 1.58294, 0.5 * mse loss: 1.83528, lr: 0.0000137
epoch: 3, batch: 450, ce loss: 1.57234, 0.5 * mse loss: 1.62153, lr: 0.0000136
epoch: 3, batch: 460, ce loss: 1.59824, 0.5 * mse loss: 1.45528, lr: 0.0000136
epoch: 3, batch: 470, ce loss: 1.57238, 0.5 * mse loss: 1.71369, lr: 0.0000136
epoch: 3, batch: 480, ce loss: 1.59569, 0.5 * mse loss: 1.66075, lr: 0.0000135
epoch: 3, batch: 490, ce loss: 1.57992, 0.5 * mse loss: 1.80783, lr: 0.0000135
epoch: 3, batch: 500, ce loss: 1.60342, 0.5 * mse loss: 1.61454, lr: 0.0000134
epoch: 3, batch: 510, ce loss: 1.56984, 0.5 * mse loss: 1.57518, lr: 0.0000134
epoch: 3, batch: 520, ce loss: 1.53105, 0.5 * mse loss: 1.62609, lr: 0.0000134
epoch: 4, batch: 10, ce loss: 1.59913, 0.5 * mse loss: 1.57929, lr: 0.0000133
epoch: 4, batch: 20, ce loss: 1.55381, 0.5 * mse loss: 1.52085, lr: 0.0000133
epoch: 4, batch: 30, ce loss: 1.55453, 0.5 * mse loss: 1.75098, lr: 0.0000132
epoch: 4, batch: 40, ce loss: 1.58162, 0.5 * mse loss: 1.81355, lr: 0.0000132
epoch: 4, batch: 50, ce loss: 1.59489, 0.5 * mse loss: 1.40039, lr: 0.0000131
epoch: 4, batch: 60, ce loss: 1.61868, 0.5 * mse loss: 1.43240, lr: 0.0000131
epoch: 4, batch: 70, ce loss: 1.56789, 0.5 * mse loss: 1.44718, lr: 0.0000130
epoch: 4, batch: 80, ce loss: 1.49205, 0.5 * mse loss: 1.73591, lr: 0.0000130
epoch: 4, batch: 90, ce loss: 1.56247, 0.5 * mse loss: 1.36201, lr: 0.0000130
epoch: 4, batch: 100, ce loss: 1.60313, 0.5 * mse loss: 1.69207, lr: 0.0000129
epoch: 4, batch: 110, ce loss: 1.53046, 0.5 * mse loss: 1.21567, lr: 0.0000129
epoch: 4, batch: 120, ce loss: 1.58029, 0.5 * mse loss: 1.81810, lr: 0.0000128
epoch: 4, batch: 130, ce loss: 1.56050, 0.5 * mse loss: 1.61870, lr: 0.0000128
epoch: 4, batch: 140, ce loss: 1.58075, 0.5 * mse loss: 1.81249, lr: 0.0000127
epoch: 4, batch: 150, ce loss: 1.55608, 0.5 * mse loss: 1.61725, lr: 0.0000127
epoch: 4, batch: 160, ce loss: 1.55061, 0.5 * mse loss: 1.57588, lr: 0.0000127
epoch: 4, batch: 170, ce loss: 1.59444, 0.5 * mse loss: 1.38166, lr: 0.0000126
epoch: 4, batch: 180, ce loss: 1.58715, 0.5 * mse loss: 1.65032, lr: 0.0000126
epoch: 4, batch: 190, ce loss: 1.59002, 0.5 * mse loss: 1.56118, lr: 0.0000125
epoch: 4, batch: 200, ce loss: 1.56877, 0.5 * mse loss: 1.55349, lr: 0.0000125
epoch: 4, batch: 210, ce loss: 1.50248, 0.5 * mse loss: 1.73702, lr: 0.0000124
epoch: 4, batch: 220, ce loss: 1.59300, 0.5 * mse loss: 1.49432, lr: 0.0000124
epoch: 4, batch: 230, ce loss: 1.57125, 0.5 * mse loss: 1.51829, lr: 0.0000124
epoch: 4, batch: 240, ce loss: 1.58672, 0.5 * mse loss: 1.36668, lr: 0.0000123
epoch: 4, batch: 250, ce loss: 1.57191, 0.5 * mse loss: 1.66735, lr: 0.0000123
epoch: 4, batch: 260, ce loss: 1.56921, 0.5 * mse loss: 1.38222, lr: 0.0000122
epoch: 4, batch: 270, ce loss: 1.55327, 0.5 * mse loss: 1.47840, lr: 0.0000122
epoch: 4, batch: 280, ce loss: 1.57112, 0.5 * mse loss: 1.57300, lr: 0.0000121
epoch: 4, batch: 290, ce loss: 1.52637, 0.5 * mse loss: 1.72226, lr: 0.0000121
epoch: 4, batch: 300, ce loss: 1.57334, 0.5 * mse loss: 1.61479, lr: 0.0000121
epoch: 4, batch: 310, ce loss: 1.51561, 0.5 * mse loss: 1.48703, lr: 0.0000120
epoch: 4, batch: 320, ce loss: 1.58854, 0.5 * mse loss: 1.48875, lr: 0.0000120
epoch: 4, batch: 330, ce loss: 1.59189, 0.5 * mse loss: 1.52285, lr: 0.0000119
epoch: 4, batch: 340, ce loss: 1.60370, 0.5 * mse loss: 1.69556, lr: 0.0000119
epoch: 4, batch: 350, ce loss: 1.60210, 0.5 * mse loss: 1.69181, lr: 0.0000119
epoch: 4, batch: 360, ce loss: 1.61719, 0.5 * mse loss: 1.36930, lr: 0.0000118
epoch: 4, batch: 370, ce loss: 1.60454, 0.5 * mse loss: 1.72490, lr: 0.0000118
epoch: 4, batch: 380, ce loss: 1.57929, 0.5 * mse loss: 1.66210, lr: 0.0000117
epoch: 4, batch: 390, ce loss: 1.58052, 0.5 * mse loss: 1.80323, lr: 0.0000117
epoch: 4, batch: 400, ce loss: 1.58118, 0.5 * mse loss: 1.42807, lr: 0.0000116
epoch: 4, batch: 410, ce loss: 1.60320, 0.5 * mse loss: 1.70812, lr: 0.0000116
epoch: 4, batch: 420, ce loss: 1.61359, 0.5 * mse loss: 1.61092, lr: 0.0000116
epoch: 4, batch: 430, ce loss: 1.53712, 0.5 * mse loss: 1.36325, lr: 0.0000115
epoch: 4, batch: 440, ce loss: 1.56043, 0.5 * mse loss: 1.39084, lr: 0.0000115
epoch: 4, batch: 450, ce loss: 1.55940, 0.5 * mse loss: 1.46687, lr: 0.0000114
epoch: 4, batch: 460, ce loss: 1.58433, 0.5 * mse loss: 1.52097, lr: 0.0000114
epoch: 4, batch: 470, ce loss: 1.55443, 0.5 * mse loss: 1.43749, lr: 0.0000113
epoch: 4, batch: 480, ce loss: 1.61230, 0.5 * mse loss: 1.63369, lr: 0.0000113
epoch: 4, batch: 490, ce loss: 1.58153, 0.5 * mse loss: 1.79829, lr: 0.0000113
epoch: 4, batch: 500, ce loss: 1.58816, 0.5 * mse loss: 1.21034, lr: 0.0000112
epoch: 4, batch: 510, ce loss: 1.60303, 0.5 * mse loss: 1.69634, lr: 0.0000112
epoch: 4, batch: 520, ce loss: 1.58887, 0.5 * mse loss: 1.70291, lr: 0.0000111
epoch: 5, batch: 10, ce loss: 1.53546, 0.5 * mse loss: 1.61815, lr: 0.0000111
epoch: 5, batch: 20, ce loss: 1.57483, 0.5 * mse loss: 1.50296, lr: 0.0000110
epoch: 5, batch: 30, ce loss: 1.55212, 0.5 * mse loss: 1.47026, lr: 0.0000110
epoch: 5, batch: 40, ce loss: 1.57715, 0.5 * mse loss: 1.50329, lr: 0.0000109
epoch: 5, batch: 50, ce loss: 1.59343, 0.5 * mse loss: 1.50200, lr: 0.0000109
epoch: 5, batch: 60, ce loss: 1.51323, 0.5 * mse loss: 1.49970, lr: 0.0000109
epoch: 5, batch: 70, ce loss: 1.52237, 0.5 * mse loss: 1.53105, lr: 0.0000108
